StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q3_5_TEXT,Q4,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5,Q5_4_TEXT,Q6,Q6_6_TEXT,Q7,Q9,Q10_2,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q12_21,Q12_22,Q12_23,Q12_24,Q12_25,Q12_26,Q12_27,Q12_28,Q12_29,Q12_30,Q12_31,Q12_32,Q12_33,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q12_21,Q12_22,Q12_23,Q12_24,Q12_25,Q12_26,Q12_27,Q12_28,Q12_29,Q12_30,Q12_31,Q12_32,Q12_33,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q17_1,Q17_2,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20,Q21_1,Q21_2,Q21_3,Q22,Q22_4_TEXT,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your net ID so you can receive credit for taking this survey.,What year are you? - Selected Choice,What year are you? - Other—please describe. - Text,In what year do you expect to graduate? - Selected Choice,In what year do you expect to graduate? - May of - Text,In what year do you expect to graduate? - August of - Text,In what year do you expect to graduate? - December of - Text,Check all that apply: Duke has granted me course credit for - Selected Choice,Check all that apply: Duke has granted me course credit for - Other—please describe. - Text,What motivated you to take this course? Check all that apply. - Selected Choice,What motivated you to take this course? Check all that apply. - Other—please describe. - Text,Did any of the following factors induce you to take this course this semester?,What types occupations are you considering pursuing? Check as many that apply.,"As of right now, what do you think the probability is that you will major in economics? (Either a first or second major.) - Probability:","As of right now, do you expect to major in economics?",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - African and African American Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Art History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Asian and Middle Eastern Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biomedical Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Chemistry,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Civil Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Classical Languages,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Computer Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Cultural Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Electrical and Computer Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - English,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Environmental Sciences,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Evolutionary Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - French Studies,"Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Gender, Sexuality, and Feminist Studies",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - German,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Global Health,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - International Comparative Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Mathematics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Mechanical Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Neuroscience,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Philosophy,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Physics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Political Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Psychology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Public Policy Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Sociology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Statistical Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Theater Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Visual and Media Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Other,"Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - African and African American Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Art History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Asian and Middle Eastern Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biomedical Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Chemistry","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Civil Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Classical Languages","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Computer Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Cultural Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Electrical and Computer Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - English","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Environmental Sciences","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Evolutionary Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - French Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Gender, Sexuality, and Feminist Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - German","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Global Health","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - International Comparative Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Mathematics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Mechanical Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Neuroscience","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Philosophy","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Physics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Political Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Psychology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Public Policy Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Sociology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Statistical Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Theater Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Visual and Media Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Other","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel welcome in my class.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that I belong with students who major in Economics.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that my professor would support my choice to major in Economics.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more welcome in my class.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more that I belong with students who major in Economics.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more that my professor would support my choice to major in Economics.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) welcome in my classes.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that I belong with students majoring in other social sciences.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that my professors would support my choice to major in those departments.","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In exam and course performance (ex. GPA)","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In job and internship placements","Regarding competition, how have your feelings changed since the first day of class? - In exam and course performance (ex. GPA)","Regarding competition, how have your feelings changed since the first day of class? - In job and internship placements",Which of the following do you think might be studied by economists? Check all that apply.,"On a scale of 0 to 10, how strong is your interest in these subjects: - Logic","On a scale of 0 to 10, how strong is your interest in these subjects: - Mathematics","On a scale of 0 to 10, how strong is your interest in these subjects: - Literature or poetry","On a scale of 0 to 10, how strong is your interest in these subjects: - Art or music","On a scale of 0 to 10, how strong is your interest in these subjects: - Social relationships","On a scale of 0 to 10, how strong is your interest in these subjects: - Organization and structure of society",How frequently do you follow the news?,"Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you see yourself on the left-to-right political spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do think the economics faculty is on this spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you think the faculty in other social sciences is on this spectrum?",Do your answers in the previous question influence your probability of majoring in economics? - Selected Choice,Do your answers in the previous question influence your probability of majoring in economics? - Other. Please explain: - Text,Please mark the appropriate choice for the level of education received by your parents.,I am the first-born among my siblings or an only child.,"Optional: Are you of Spanish, Hispanic, or Latino origin?",Optional: Please indicate how you identify yourself. (Check all that apply.),Optional: With which gender do you identify?,Do you give permission to use your anonymized responses in future statistical research?,"Have your responses to any of the previous questions been affected on account of the COVID-19 situation? If so, please describe how they have been affected. Feel free to add as much detail as you like.",You have reached the end of the survey. Please click the arrow button below to submit your responses. We welcome your comments on any questions here.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_1_TEXT""}","{""ImportId"":""QID45_2_TEXT""}","{""ImportId"":""QID45_3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID40""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID30""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID17_15""}","{""ImportId"":""QID17_16""}","{""ImportId"":""QID17_17""}","{""ImportId"":""QID17_18""}","{""ImportId"":""QID17_19""}","{""ImportId"":""QID17_20""}","{""ImportId"":""QID17_21""}","{""ImportId"":""QID17_22""}","{""ImportId"":""QID17_23""}","{""ImportId"":""QID17_36""}","{""ImportId"":""QID17_37""}","{""ImportId"":""QID17_24""}","{""ImportId"":""QID17_26""}","{""ImportId"":""QID17_27""}","{""ImportId"":""QID17_28""}","{""ImportId"":""QID17_29""}","{""ImportId"":""QID17_30""}","{""ImportId"":""QID17_31""}","{""ImportId"":""QID17_32""}","{""ImportId"":""QID17_33""}","{""ImportId"":""QID17_34""}","{""ImportId"":""QID17_35""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_15""}","{""ImportId"":""QID37_16""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID37_20""}","{""ImportId"":""QID37_21""}","{""ImportId"":""QID37_22""}","{""ImportId"":""QID37_23""}","{""ImportId"":""QID37_36""}","{""ImportId"":""QID37_38""}","{""ImportId"":""QID37_24""}","{""ImportId"":""QID37_26""}","{""ImportId"":""QID37_27""}","{""ImportId"":""QID37_28""}","{""ImportId"":""QID37_29""}","{""ImportId"":""QID37_30""}","{""ImportId"":""QID37_31""}","{""ImportId"":""QID37_32""}","{""ImportId"":""QID37_33""}","{""ImportId"":""QID37_34""}","{""ImportId"":""QID37_35""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID27""}","{""ImportId"":""QID16""}","{""ImportId"":""QID6""}","{""ImportId"":""QID51""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID29_TEXT""}"
2020-04-20 06:20:27,2020-04-20 06:25:24,IP Address,107.137.156.112,100,296,True,2020-04-20 06:25:24,R_1IbYXaW3sOEuTCB,,,,,35.17120361328125,-80.7938995361328125,anonymous,EN,agb49,Freshman,,May of,2023,,,Other—please describe.,"Took IB economics in high school, but did not receive credit by Duke.","I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,,"Academic or Researcher,Wall Street-type occupation",4,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,No chance,No chance,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",10,10,6,8,9,8,Daily,3,2,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,True,No,"Asian (including Indian subcontinent and Philippines),White (including Middle Eastern)",Male,Yes,,
2020-04-20 06:22:37,2020-04-20 06:26:56,IP Address,66.67.41.99,100,259,True,2020-04-20 06:26:56,R_3hoteT85wIL54n7,,,,,44.87969970703125,-69.91190338134765625,anonymous,EN,jav29,Freshman,,May of,2023,,,This is my first formal economics course,,I am exploring potential career paths.,,,Wall Street-type occupation,50,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,Netural,Yes,Yes,Neutral,Extremely competitive,Extremely competitive,No chance,No chance,None of the above,6,4,0,0,8,8,Daily,4,1,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,False,No,White (including Middle Eastern),Female,Yes,,
